2024-12-09 08:38:26 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 1, Pool Size: 1
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 8, Pool Size: 0
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 6, Pool Size: 1
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 5, Pool Size: 2
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 4, Pool Size: 3
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 9, Pool Size: 4
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 2, Pool Size: 3
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 7, Pool Size: 2
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 10, Pool Size: 1
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 5, Pool Size: 0
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 7, Pool Size: 1
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 8, Pool Size: 2
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 10, Pool Size: 3
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 3, Pool Size: 4
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 9, Pool Size: 3
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 1, Pool Size: 2
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 6, Pool Size: 1
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 4, Pool Size: 0
2024-12-09 08:38:33 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 2, Pool Size: 1
2024-12-09 08:38:33 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 3, Pool Size: 0
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 1, Pool Size: 1
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 5, Pool Size: 0
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 4, Pool Size: 1
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 9, Pool Size: 0
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 6, Pool Size: 1
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 5, Pool Size: 2
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 10, Pool Size: 1
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 7, Pool Size: 0
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 2, Pool Size: 1
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 2, Pool Size: 0
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 7, Pool Size: 1
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 9, Pool Size: 2
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 8, Pool Size: 3
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 10, Pool Size: 4
2024-12-09 08:38:40 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 3, Pool Size: 5
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 1, Pool Size: 4
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 4, Pool Size: 3
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 6, Pool Size: 2
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 3, Pool Size: 1
2024-12-09 08:38:40 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 8, Pool Size: 0
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 1, Pool Size: 1
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 9, Pool Size: 0
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 5, Pool Size: 1
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 6, Pool Size: 0
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 4, Pool Size: 1
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 6, Pool Size: 2
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 5, Pool Size: 1
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 10, Pool Size: 0
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 3, Pool Size: 1
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 7, Pool Size: 0
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 2, Pool Size: 1
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 7, Pool Size: 2
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 9, Pool Size: 3
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 10, Pool Size: 4
2024-12-09 08:38:47 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 8, Pool Size: 5
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 8, Pool Size: 4
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 3, Pool Size: 3
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 2, Pool Size: 2
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 1, Pool Size: 1
2024-12-09 08:38:47 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 4, Thread: Customer - 4, Pool Size: 0
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 1, Pool Size: 1
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 9, Pool Size: 0
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 3, Pool Size: 1
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 8, Pool Size: 0
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 5, Pool Size: 1
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 4, Pool Size: 2
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 6, Pool Size: 3
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 5, Pool Size: 2
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 6, Pool Size: 1
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 10, Pool Size: 0
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 8, Pool Size: 1
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 4, Pool Size: 0
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 9, Pool Size: 1
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 2, Pool Size: 2
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 7, Pool Size: 3
2024-12-09 08:38:54 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 10, Pool Size: 4
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 7, Pool Size: 3
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 1, Pool Size: 2
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 2, Pool Size: 1
2024-12-09 08:38:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 5, Thread: Customer - 3, Pool Size: 0
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 7, Pool Size: 1
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 5, Pool Size: 0
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 1, Pool Size: 1
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 8, Pool Size: 2
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 6, Pool Size: 3
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 2, Pool Size: 4
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 4, Pool Size: 5
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 5, Pool Size: 6
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 1, Pool Size: 5
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 9, Pool Size: 6
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 10, Pool Size: 7
2024-12-09 09:53:54 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 3, Pool Size: 8
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 4, Pool Size: 7
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 10, Pool Size: 6
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 2, Pool Size: 5
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 6, Pool Size: 4
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 7, Pool Size: 3
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 8, Pool Size: 2
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 9, Pool Size: 1
2024-12-09 09:53:54 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 3, Pool Size: 0
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 7, Pool Size: 1
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 10, Pool Size: 2
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 3, Pool Size: 3
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 1, Pool Size: 4
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 8, Pool Size: 5
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 6, Pool Size: 6
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 2, Pool Size: 7
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 4, Pool Size: 8
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 5, Pool Size: 9
2024-12-09 09:54:00 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 9, Pool Size: 10
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 5, Pool Size: 9
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 1, Pool Size: 8
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 3, Pool Size: 7
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 4, Pool Size: 6
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 10, Pool Size: 5
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 2, Pool Size: 4
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 6, Pool Size: 3
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 7, Pool Size: 2
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 8, Pool Size: 1
2024-12-09 09:54:01 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 2, Thread: Customer - 9, Pool Size: 0
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 7, Pool Size: 1
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 10, Pool Size: 2
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 3, Pool Size: 3
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 2, Pool Size: 4
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 6, Pool Size: 5
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 8, Pool Size: 6
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 1, Pool Size: 7
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 5, Pool Size: 8
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 4, Pool Size: 9
2024-12-09 09:54:06 - TICKET ADDED BY THE VENDOR: Ticket ID 3, Thread: Vendor - 9, Pool Size: 10
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 1, Pool Size: 9
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 5, Pool Size: 8
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 4, Pool Size: 7
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 2, Pool Size: 6
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 3, Pool Size: 5
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 7, Pool Size: 4
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 6, Pool Size: 3
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 10, Pool Size: 2
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 8, Pool Size: 1
2024-12-09 09:54:08 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 3, Thread: Customer - 9, Pool Size: 0
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 7, Pool Size: 1
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 10, Pool Size: 2
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 3, Pool Size: 3
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 4, Pool Size: 4
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 2, Pool Size: 5
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 6, Pool Size: 6
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 8, Pool Size: 7
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 1, Pool Size: 8
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 5, Pool Size: 9
2024-12-09 09:54:12 - TICKET ADDED BY THE VENDOR: Ticket ID 4, Thread: Vendor - 9, Pool Size: 10
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 7, Pool Size: 11
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 10, Pool Size: 12
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 3, Pool Size: 13
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 4, Pool Size: 14
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 2, Pool Size: 15
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 5, Pool Size: 16
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 6, Pool Size: 17
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 8, Pool Size: 18
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 1, Pool Size: 19
2024-12-09 09:54:18 - TICKET ADDED BY THE VENDOR: Ticket ID 5, Thread: Vendor - 9, Pool Size: 20
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 7, Pool Size: 21
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 4, Pool Size: 22
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 10, Pool Size: 23
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 3, Pool Size: 24
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 2, Pool Size: 25
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 5, Pool Size: 26
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 6, Pool Size: 27
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 1, Pool Size: 28
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 8, Pool Size: 29
2024-12-09 09:54:24 - TICKET ADDED BY THE VENDOR: Ticket ID 6, Thread: Vendor - 9, Pool Size: 30
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 1, Pool Size: 1
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 10, Pool Size: 0
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 6, Pool Size: 1
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 5, Pool Size: 2
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 2, Pool Size: 1
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 2, Pool Size: 2
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 4, Pool Size: 3
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 9, Pool Size: 4
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 3, Pool Size: 5
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 8, Pool Size: 6
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 1, Pool Size: 5
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 10, Pool Size: 6
2024-12-09 10:08:14 - TICKET ADDED BY THE VENDOR: Ticket ID 1, Thread: Vendor - 7, Pool Size: 7
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 3, Pool Size: 6
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 4, Pool Size: 5
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 5, Pool Size: 4
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 7, Pool Size: 3
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 8, Pool Size: 2
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 9, Pool Size: 1
2024-12-09 10:08:14 - TICKET PURCHASED BY THE CUSTOMER: Ticket ID 1, Thread: Customer - 6, Pool Size: 0
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 1, Pool Size: 1
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 6, Pool Size: 2
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 5, Pool Size: 3
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 4, Pool Size: 4
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 2, Pool Size: 5
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 9, Pool Size: 6
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 3, Pool Size: 7
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 8, Pool Size: 8
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 10, Pool Size: 9
2024-12-09 10:08:20 - TICKET ADDED BY THE VENDOR: Ticket ID 2, Thread: Vendor - 7, Pool Size: 10
